line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,444.0,462.0,462.0,530.0,530.0,925.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0
Reserves,41574.0,42041.0,42605.0,46036.0,54466.0,75179.0,81354.0,90833.0,104019.0,118677.0,145467.0,164833.0
Deposits,629981.0,586690.0,617257.0,607451.0,665589.0,973228.0,995910.0,1075804.0,1234682.0,1359980.0,1496696.0,1675895.0
Borrowing,35502.0,33845.0,31242.0,64860.0,68868.0,95753.0,71263.0,109526.0,107910.0,101959.0,135813.0,170297.0
Other Liabilities,26465.0,28134.0,27649.0,28919.0,30217.0,54850.0,53104.0,62922.0,78224.0,73123.0,82754.0,89425.0
Total Liabilities,733966.0,691173.0,719216.0,747796.0,819670.0,1199935.0,1202667.0,1340121.0,1525871.0,1654775.0,1861766.0,2101485.0
Fixed Assets,2978.0,6359.0,5930.0,5532.0,7368.0,9268.0,8438.0,11098.0,9865.0,9054.0,13544.0,13107.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,1.0,1.0
Investments,124739.0,128894.0,140716.0,175137.0,195716.0,289727.0,281859.0,347587.0,397487.0,407136.0,427380.0,435778.0
Other Assets,606248.0,555920.0,572570.0,567126.0,616586.0,900941.0,912367.0,981435.0,1118516.0,1238580.0,1420842.0,1652599.0
Total Assets,733966.0,691173.0,719216.0,747796.0,819670.0,1199935.0,1202667.0,1340121.0,1525871.0,1654775.0,1861766.0,2101485.0
