line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,27196.0,28003.0,29263.0,30042.0,31072.0,31143.0,31902.0,32570.0,32820.0,32866.0,33318.0,33600.0,34514.0
Interest,14790.0,16060.0,17528.0,18002.0,18309.0,18582.0,19266.0,20143.0,20273.0,20307.0,20191.0,20586.0,20776.0
Expenses,10642.0,11040.0,12216.0,10556.0,12269.0,10879.0,12755.0,10654.0,12712.0,12928.0,11548.0,12390.0,13155.0
Financing Profit,1764.0,902.0,-480.0,1484.0,494.0,1682.0,-119.0,1772.0,-165.0,-368.0,1579.0,624.0,582.0
Financing Margin %,6.0,3.0,-2.0,5.0,2.0,5.0,-0.0,5.0,-0.0,-1.0,5.0,2.0,2.0
Other Income,5332.0,5316.0,6503.0,5042.0,6538.0,4658.0,7553.0,5163.0,7076.0,5538.0,5116.0,6399.0,5474.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,7096.0,6217.0,6023.0,6526.0,7033.0,6340.0,7434.0,6935.0,6911.0,5170.0,6695.0,7024.0,6057.0
Tax %,28.0,31.0,28.0,27.0,29.0,28.0,27.0,26.0,23.0,35.0,24.0,23.0,7.0
Net Profit,5315.0,4468.0,4426.0,4815.0,5160.0,4764.0,5405.0,5250.0,5447.0,3517.0,5181.0,5501.0,5872.0
EPS in Rs,10.16,8.61,8.5,9.26,9.92,9.14,10.36,10.08,10.48,6.71,9.93,10.53,11.22
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
