line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,666.0,817.0,1055.0,1744.0,2760.0,3278.0,3278.0,4104.0,4104.0,4553.0,4553.0,4553.0
Reserves,31857.0,32528.0,32574.0,35013.0,44892.0,41795.0,46703.0,52418.0,56329.0,66028.0,76172.0,85405.0
Deposits,536932.0,515722.0,542352.0,522997.0,522555.0,557386.0,629098.0,629981.0,672194.0,740611.0,819806.0,930973.0
Borrowing,37649.0,51103.0,39491.0,43598.0,44265.0,39752.0,32464.0,26821.0,65015.0,80960.0,123869.0,118626.0
Other Liabilities,18046.0,16457.0,16553.0,11833.0,16409.0,20805.0,21244.0,29807.0,28393.0,32127.0,32024.0,39980.0
Total Liabilities,625150.0,616628.0,632026.0,615184.0,630881.0,663017.0,732786.0,743131.0,826036.0,924280.0,1056425.0,1179538.0
Fixed Assets,5802.0,8382.0,8349.0,8192.0,8799.0,8765.0,8637.0,9570.0,9950.0,10178.0,11865.0,11670.0
CWIP,113.0,191.0,197.0,158.0,200.0,293.0,364.0,286.0,110.0,150.0,182.0,207.0
Investments,123196.0,122621.0,130751.0,140321.0,150905.0,162323.0,191693.0,180274.0,211324.0,234592.0,268002.0,279084.0
Other Assets,496040.0,485435.0,492729.0,466513.0,470977.0,491636.0,532092.0,553001.0,604652.0,679361.0,776376.0,888577.0
Total Assets,625150.0,616628.0,632026.0,615184.0,630881.0,663017.0,732786.0,743131.0,826036.0,924280.0,1056425.0,1179538.0
