line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,43685.0,42093.0,39585.0,38313.0,41005.0,42591.0,40854.0,38281.0,47932.0,61073.0,71308.0,75613.0
Interest,32220.0,30245.0,27606.0,27679.0,27207.0,27191.0,26421.0,24083.0,27441.0,37757.0,46594.0,50139.0
Expenses,13600.0,19842.0,21218.0,24618.0,26874.0,26386.0,17672.0,16263.0,21177.0,18848.0,20656.0,20708.0
Financing Profit,-2135.0,-7994.0,-9239.0,-13984.0,-13076.0,-10987.0,-3239.0,-2065.0,-686.0,4469.0,4057.0,4766.0
Financing Margin %,-5.0,-19.0,-23.0,-36.0,-32.0,-26.0,-8.0,-5.0,-1.0,7.0,6.0,6.0
Other Income,4278.0,3672.0,6819.0,5846.0,4862.0,6687.0,6778.0,8092.0,7168.0,6415.0,9317.0,9737.0
Depreciation,291.0,290.0,-7.0,522.0,373.0,392.0,380.0,372.0,427.0,509.0,604.0,731.0
Profit before tax,1852.0,-4612.0,-2412.0,-8660.0,-8587.0,-4692.0,3160.0,5655.0,6056.0,10375.0,12771.0,13773.0
Tax %,6.0,37.0,-34.0,-30.0,-37.0,-35.0,34.0,38.0,37.0,37.0,25.0,25.0
Net Profit,2015.0,-6276.0,-1492.0,-5982.0,-5426.0,-3051.0,2081.0,3487.0,3839.0,6567.0,9552.0,10309.0
EPS in Rs,30.27,-75.98,-13.94,-34.2,-19.67,-9.31,6.36,8.51,9.35,14.42,20.97,22.64
Dividend Payout %,17.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.0,19.0,19.0,21.0
