line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,13548.0,14442.0,15062.0,15319.0,16250.0,17046.0,17466.0,18317.0,18479.0,18467.0,18521.0,19052.0,19573.0
Interest,7948.0,8467.0,9256.0,9792.0,10242.0,10693.0,11403.0,12166.0,12333.0,12321.0,12530.0,12504.0,12785.0
Expenses,6590.0,4579.0,4546.0,4190.0,6041.0,5269.0,5456.0,4485.0,6050.0,5399.0,4849.0,5201.0,5989.0
Financing Profit,-990.0,1396.0,1260.0,1337.0,-33.0,1084.0,607.0,1666.0,97.0,747.0,1142.0,1346.0,800.0
Financing Margin %,-7.0,10.0,8.0,9.0,-0.0,6.0,3.0,9.0,1.0,4.0,6.0,7.0,4.0
Other Income,3168.0,1484.0,1717.0,1202.0,1830.0,1338.0,2532.0,1780.0,3455.0,1692.0,2218.0,2327.0,3280.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,2178.0,2880.0,2977.0,2539.0,1797.0,2422.0,3138.0,3447.0,3551.0,2439.0,3361.0,3674.0,4079.0
Tax %,36.0,48.0,50.0,25.0,17.0,28.0,24.0,26.0,25.0,28.0,25.0,25.0,25.0
Net Profit,1413.0,1562.0,1499.0,1931.0,1574.0,1890.0,2422.0,2638.0,2602.0,1831.0,2576.0,2814.0,3089.0
EPS in Rs,3.44,3.81,3.65,4.24,3.46,4.15,5.32,5.79,5.72,4.02,5.66,6.18,6.78
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
