line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,475.0,543.0,597.0,733.0,753.0,1030.0,1647.0,1814.0,1814.0,1814.0,1814.0,1814.0
Reserves,32017.0,31867.0,34088.0,36164.0,36936.0,40176.0,60763.0,68147.0,76240.0,90319.0,103603.0,115891.0
Deposits,485802.0,479749.0,495266.0,524847.0,599123.0,625408.0,1010985.0,1086341.0,1179086.0,1312242.0,1456495.0,1568333.0
Borrowing,13686.0,26963.0,39592.0,38910.0,41043.0,42762.0,50013.0,46285.0,58073.0,57538.0,89665.0,155288.0
Other Liabilities,26578.0,24603.0,26615.0,30781.0,33928.0,32064.0,56132.0,56202.0,65816.0,73104.0,80950.0,45999.0
Total Liabilities,558558.0,563725.0,596159.0,631435.0,711783.0,741440.0,1179540.0,1258789.0,1381030.0,1535018.0,1732527.0,1887325.0
Fixed Assets,6969.0,7206.0,7185.0,8335.0,8433.0,8323.0,11269.0,11447.0,10334.0,12184.0,10302.0,10595.0
CWIP,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,147.0,0.0,0.0
Investments,152122.0,152470.0,162073.0,157444.0,168678.0,192645.0,286191.0,311347.0,352893.0,399207.0,428024.0,407389.0
Other Assets,399466.0,404049.0,426901.0,465657.0,534672.0,540472.0,882077.0,935992.0,1017803.0,1123480.0,1294201.0,1469341.0
Total Assets,558558.0,563725.0,596159.0,631435.0,711783.0,741440.0,1179540.0,1258789.0,1381030.0,1535018.0,1732527.0,1887325.0
