line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,24304.0,25451.0,27290.0,28492.0,29286.0,29173.0,30182.0,30751.0,31496.0,31523.0,32072.0,30938.0,31839.0
Interest,15292.0,16337.0,17934.0,18620.0,19226.0,19534.0,20427.0,21163.0,21556.0,21992.0,22412.0,22709.0,22024.0
Expenses,12253.0,10990.0,10859.0,12001.0,13198.0,12010.0,12066.0,10752.0,12124.0,13141.0,13251.0,4002.0,8870.0
Financing Profit,-3241.0,-1876.0,-1504.0,-2129.0,-3138.0,-2371.0,-2312.0,-1165.0,-2185.0,-3610.0,-3591.0,4227.0,944.0
Financing Margin %,-13.0,-7.0,-6.0,-7.0,-11.0,-8.0,-8.0,-4.0,-7.0,-11.0,-11.0,14.0,3.0
Other Income,7470.0,6809.0,6602.0,7138.0,8098.0,7793.0,7824.0,6679.0,8761.0,8086.0,9942.0,2152.0,4700.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,4229.0,4933.0,5098.0,5009.0,4960.0,5422.0,5513.0,5515.0,6576.0,4475.0,6351.0,6379.0,5644.0
Tax %,24.0,28.0,28.0,25.0,24.0,27.0,26.0,25.0,22.0,33.0,23.0,24.0,22.0
Net Profit,3364.0,3755.0,3829.0,3827.0,3991.0,4098.0,4227.0,4256.0,5111.0,3233.0,4896.0,5174.0,4575.0
EPS in Rs,3.68,4.12,4.19,4.18,4.36,4.48,4.62,4.65,5.59,3.52,5.35,5.79,5.04
Gross NPA %,5.35,5.16,4.76,4.39,4.23,4.14,3.73,3.34,2.94,2.69,2.35,2.08,1.84
Net NPA %,1.73,1.57,1.41,1.32,1.27,1.24,0.99,0.89,0.7,0.63,0.54,0.45,0.43
Raw PDF,,,,,,,,,,,,,
