line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,480.0,480.0,480.0,480.0,480.0,609.0,1129.0,1245.0,1245.0,1347.0,1347.0,1347.0
Reserves,14549.0,16010.0,16954.0,18235.0,19235.0,22159.0,38329.0,43706.0,48261.0,58901.0,70166.0,78696.0
Deposits,169204.0,178259.0,182480.0,208262.0,242041.0,260184.0,538030.0,593571.0,621123.0,687953.0,737098.0,827654.0
Borrowing,2646.0,3509.0,12637.0,19760.0,12138.0,20830.0,24763.0,17218.0,22092.0,23143.0,41552.0,46807.0
Other Liabilities,6156.0,5683.0,5957.0,6244.0,6494.0,6359.0,23285.0,18356.0,20612.0,24365.0,26875.0,37049.0
Total Liabilities,193036.0,203941.0,218507.0,252981.0,280388.0,310141.0,625535.0,674096.0,713334.0,795709.0,877039.0,991553.0
Fixed Assets,2969.0,3508.0,3436.0,3421.0,3964.0,3898.0,7392.0,7694.0,7472.0,7538.0,8854.0,8674.0
CWIP,5.0,8.0,11.0,1.0,1.0,1.0,0.0,5.0,9.0,2.0,3.0,3.0
Investments,46060.0,53283.0,67781.0,71619.0,65272.0,81871.0,178292.0,176502.0,188366.0,215242.0,228421.0,247682.0
Other Assets,144001.0,147143.0,147280.0,177940.0,211152.0,224371.0,439850.0,489896.0,517487.0,572927.0,639760.0,735194.0
Total Assets,193036.0,203941.0,218507.0,252981.0,280388.0,310141.0,625535.0,674096.0,713334.0,795709.0,877039.0,991553.0
