line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,15853.0,16244.0,16039.0,17115.0,19182.0,21401.0,39108.0,38888.0,44985.0,55650.0,62039.0,67504.0
Interest,11390.0,11795.0,10891.0,10851.0,12167.0,13798.0,23439.0,22129.0,24717.0,32341.0,36826.0,40539.0
Expenses,4219.0,5128.0,6144.0,6998.0,8289.0,9238.0,18029.0,20285.0,21577.0,20342.0,19818.0,20710.0
Financing Profit,245.0,-679.0,-996.0,-734.0,-1273.0,-1634.0,-2360.0,-3526.0,-1309.0,2967.0,5395.0,6255.0
Financing Margin %,2.0,-4.0,-6.0,-4.0,-7.0,-8.0,-6.0,-9.0,-3.0,5.0,9.0,9.0
Other Income,1372.0,1789.0,2222.0,2417.0,1891.0,3326.0,6111.0,7380.0,7804.0,8582.0,10011.0,10829.0
Depreciation,139.0,151.0,166.0,237.0,259.0,314.0,637.0,601.0,532.0,531.0,543.0,609.0
Profit before tax,1478.0,958.0,1060.0,1445.0,359.0,1377.0,3115.0,3253.0,5963.0,11017.0,14864.0,16475.0
Tax %,31.0,25.0,-33.0,13.0,11.0,45.0,3.0,-23.0,11.0,26.0,26.0,26.0
Net Profit,1051.0,752.0,1455.0,1311.0,381.0,862.0,3151.0,4144.0,5574.0,8423.0,11264.0,11707.0
EPS in Rs,21.84,15.64,30.25,27.29,7.91,14.15,27.88,33.26,44.74,62.51,83.61,86.89
Dividend Payout %,19.0,10.0,20.0,0.0,0.0,0.0,7.0,20.0,19.0,19.0,19.0,21.0
