line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,12255.0,13050.0,13764.0,14203.0,14633.0,15041.0,15369.0,15770.0,15860.0,16285.0,16628.0,17102.0,17488.0
Interest,6736.0,7346.0,8003.0,8383.0,8609.0,8861.0,9154.0,9345.0,9467.0,9924.0,10040.0,10203.0,10372.0
Expenses,6202.0,5161.0,5150.0,5158.0,5378.0,4994.0,5144.0,5102.0,5097.0,4880.0,5108.0,5492.0,5811.0
Financing Profit,-683.0,543.0,611.0,661.0,646.0,1186.0,1072.0,1323.0,1295.0,1481.0,1480.0,1407.0,1305.0
Financing Margin %,-6.0,4.0,4.0,5.0,4.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0
Other Income,2161.0,1871.0,2166.0,2113.0,2432.0,2077.0,2602.0,2397.0,2935.0,1854.0,2643.0,2793.0,2773.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,1477.0,2415.0,2777.0,2774.0,3078.0,3263.0,3674.0,3721.0,4230.0,3335.0,4123.0,4199.0,4078.0
Tax %,1.0,29.0,28.0,23.0,27.0,26.0,25.0,23.0,30.0,33.0,26.0,27.0,24.0
Net Profit,1520.0,1850.0,2069.0,2207.0,2296.0,2571.0,2801.0,2910.0,2982.0,2277.0,3109.0,3148.0,3174.0
EPS in Rs,12.2,14.85,16.61,16.37,17.04,19.08,20.79,21.6,22.14,16.9,23.07,23.36,23.56
Gross NPA %,5.95,5.47,4.97,4.47,3.95,3.77,3.48,3.26,3.09,3.01,2.6,2.23,1.98
Net NPA %,0.9,0.7,0.6,0.53,0.43,0.39,0.27,0.21,0.19,0.18,0.16,0.15,0.15
Raw PDF,,,,,,,,,,,,,
