line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,5195.0,5427.0,5825.0,6180.0,6634.0,6539.0,6854.0,7116.0,7635.0,7387.0,7851.0,8172.0,8489.0
Interest,2917.0,3102.0,3477.0,3780.0,3868.0,4096.0,4315.0,4324.0,4510.0,4639.0,4790.0,4874.0,5019.0
Expenses,2822.0,2621.0,2829.0,2583.0,4049.0,2738.0,3191.0,2852.0,3152.0,2714.0,2698.0,3430.0,3102.0
Financing Profit,-544.0,-296.0,-481.0,-183.0,-1283.0,-295.0,-652.0,-60.0,-27.0,34.0,364.0,-132.0,368.0
Financing Margin %,-10.0,-5.0,-8.0,-3.0,-19.0,-5.0,-10.0,-1.0,-0.0,0.0,5.0,-2.0,4.0
Other Income,1436.0,807.0,1117.0,1263.0,2479.0,1033.0,1634.0,1298.0,1581.0,1480.0,1365.0,1499.0,1291.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,891.0,511.0,636.0,1080.0,1196.0,739.0,982.0,1238.0,1554.0,1515.0,1729.0,1367.0,1659.0
Tax %,26.0,1.0,1.0,33.0,32.0,14.0,21.0,29.0,32.0,27.0,29.0,0.0,9.0
Net Profit,656.0,504.0,627.0,724.0,810.0,649.0,780.0,875.0,1092.0,1178.0,1259.0,1427.0,1556.0
EPS in Rs,0.35,0.27,0.33,0.38,0.43,0.34,0.41,0.46,0.57,0.61,0.65,0.74,0.81
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
