line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1063.0,1168.0,1168.0,2598.0,2753.0,5824.0,6560.0,6730.0,6730.0,7081.0,7692.0,7692.0
Reserves,7060.0,7692.0,6301.0,7469.0,3130.0,5085.0,5748.0,7331.0,9060.0,12789.0,21016.0,25533.0
Deposits,125915.0,142785.0,139040.0,138967.0,140636.0,150050.0,173989.0,202275.0,234064.0,270726.0,307120.0,350538.0
Borrowing,7322.0,5423.0,8137.0,4064.0,10149.0,3670.0,4239.0,7747.0,10766.0,7719.0,23853.0,35234.0
Other Liabilities,4713.0,3961.0,4765.0,3351.0,8008.0,4388.0,6299.0,6700.0,7207.0,9013.0,9673.0,8475.0
Total Liabilities,146073.0,161029.0,159411.0,156449.0,164676.0,169018.0,196835.0,230783.0,267827.0,307329.0,369354.0,427471.0
Fixed Assets,1432.0,1695.0,1564.0,1487.0,1741.0,1604.0,1622.0,2036.0,2149.0,2200.0,2911.0,2962.0
CWIP,0.0,0.0,22.0,30.0,34.0,72.0,52.0,205.0,8.0,10.0,4.0,0.0
Investments,32819.0,36302.0,38677.0,43742.0,59837.0,57891.0,68281.0,68762.0,69042.0,68465.0,82216.0,101588.0
Other Assets,111822.0,123033.0,119148.0,111189.0,103064.0,109451.0,126880.0,159780.0,196628.0,236655.0,284222.0,322922.0
Total Assets,146073.0,161029.0,159411.0,156449.0,164676.0,169018.0,196835.0,230783.0,267827.0,307329.0,369354.0,427471.0
