line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,371.0,393.0,426.0,552.0,921.0,1348.0,2096.0,2202.0,2202.0,2202.0,2299.0,2299.0
Reserves,41669.0,41412.0,42990.0,40965.0,45164.0,62529.0,90439.0,95380.0,100678.0,108185.0,130839.0,147674.0
Deposits,537758.0,570383.0,629651.0,648439.0,681874.0,710254.0,1113717.0,1154234.0,1290347.0,1379225.0,1577020.0,1724795.0
Borrowing,36692.0,81674.0,43336.0,65330.0,46828.0,62512.0,52298.0,59372.0,70149.0,72586.0,105807.0,107558.0
Other Liabilities,19522.0,18932.0,16909.0,22242.0,15333.0,14814.0,21176.0,28113.0,30273.0,36438.0,41579.0,51005.0
Total Liabilities,636011.0,712793.0,733311.0,777528.0,790120.0,851457.0,1279725.0,1339301.0,1493649.0,1598636.0,1857544.0,2033331.0
Fixed Assets,3656.0,5308.0,6298.0,6371.0,6246.0,7262.0,11049.0,10696.0,12084.0,12348.0,13083.0,15625.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,156762.0,165126.0,191527.0,204419.0,210578.0,253782.0,404369.0,388586.0,416914.0,446421.0,524840.0,523515.0
Other Assets,475594.0,542358.0,535486.0,566738.0,573295.0,590413.0,864307.0,940019.0,1064651.0,1139867.0,1319620.0,1494191.0
Total Assets,636011.0,712793.0,733311.0,777528.0,790120.0,851457.0,1279725.0,1339301.0,1493649.0,1598636.0,1857544.0,2033331.0
