line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,24305.0,25673.0,26858.0,27852.0,28682.0,29145.0,30447.0,31895.0,32523.0,32572.0,32513.0,32889.0,32798.0
Interest,14690.0,16064.0,16820.0,17444.0,18206.0,18536.0,19790.0,20738.0,21640.0,21828.0,21858.0,22164.0,22219.0
Expenses,10813.0,10990.0,10259.0,9449.0,9831.0,8473.0,8592.0,7494.0,9142.0,9197.0,8299.0,9298.0,7518.0
Financing Profit,-1197.0,-1381.0,-221.0,959.0,646.0,2136.0,2065.0,3663.0,1742.0,1547.0,2356.0,1426.0,3061.0
Financing Margin %,-5.0,-5.0,-1.0,3.0,2.0,7.0,7.0,11.0,5.0,5.0,7.0,4.0,9.0
Other Income,3827.0,3360.0,2999.0,2676.0,4294.0,3615.0,4664.0,3392.0,4776.0,5427.0,4171.0,5013.0,4080.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,2630.0,1979.0,2778.0,3634.0,4940.0,5751.0,6729.0,7055.0,6518.0,6973.0,6527.0,6440.0,7141.0
Tax %,34.0,39.0,36.0,38.0,37.0,35.0,34.0,34.0,29.0,74.0,26.0,19.0,27.0
Net Profit,1876.0,1363.0,1990.0,2441.0,3363.0,3991.0,4739.0,4811.0,5011.0,2167.0,5121.0,5577.0,5602.0
EPS in Rs,1.69,1.22,1.81,2.21,3.04,3.61,4.1,4.18,4.34,1.84,4.46,4.83,4.87
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
