line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,747.0,776.0,797.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,923.0
Reserves,160641.0,179816.0,216395.0,229429.0,233603.0,250168.0,274669.0,304696.0,358039.0,414047.0,486144.0,595208.0
Deposits,2052961.0,2253858.0,2599811.0,2722178.0,2940541.0,3274161.0,3715331.0,4087411.0,4468536.0,4966537.0,5439898.0,6043097.0
Borrowing,244663.0,361399.0,336366.0,369079.0,413748.0,332901.0,433796.0,449160.0,521152.0,639610.0,610857.0,777302.0
Other Liabilities,240149.0,276472.0,288391.0,294860.0,299676.0,339364.0,420926.0,518719.0,605796.0,712669.0,775938.0,904646.0
Total Liabilities,2699161.0,3072321.0,3441760.0,3616439.0,3888460.0,4197486.0,4845615.0,5360878.0,5954415.0,6733756.0,7313730.0,8321176.0
Fixed Assets,12924.0,15415.0,51189.0,42035.0,39941.0,39608.0,41600.0,41032.0,45880.0,46072.0,47716.0,59772.0
CWIP,400.0,786.0,695.0,925.0,762.0,470.0,116.0,28.0,66.0,42.0,41.0,78.0
Investments,673507.0,807375.0,1027281.0,1183794.0,1119270.0,1228284.0,1595100.0,1776490.0,1913108.0,2110548.0,2205601.0,2359502.0
Other Assets,2012329.0,2248746.0,2362594.0,2389685.0,2728487.0,2929123.0,3208798.0,3543328.0,3995361.0,4577093.0,5060371.0,5901824.0
Total Assets,2699161.0,3072321.0,3441760.0,3616439.0,3888460.0,4197486.0,4845615.0,5360878.0,5954415.0,6733756.0,7313730.0,8321176.0
