line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,207974.0,220633.0,230447.0,228970.0,253322.0,269852.0,278115.0,289973.0,350845.0,439189.0,490313.0,514933.0
Interest,133179.0,143047.0,149115.0,146603.0,155867.0,161124.0,156010.0,156194.0,189981.0,259736.0,300943.0,315005.0
Expenses,96675.0,109985.0,145666.0,169065.0,166104.0,172909.0,192821.0,197349.0,204303.0,239750.0,252043.0,278781.0
Financing Profit,-21879.0,-32399.0,-64334.0,-86697.0,-68649.0,-64181.0,-70715.0,-63570.0,-43439.0,-60297.0,-62674.0,-78853.0
Financing Margin %,-11.0,-15.0,-28.0,-38.0,-27.0,-24.0,-25.0,-22.0,-12.0,-14.0,-13.0,-15.0
Other Income,49315.0,52828.0,68193.0,77557.0,77365.0,98159.0,107222.0,117000.0,122534.0,155386.0,173031.0,197711.0
Depreciation,1581.0,2252.0,2915.0,3105.0,3496.0,3662.0,3711.0,3691.0,3696.0,3849.0,3991.0,4830.0
Profit before tax,25855.0,18177.0,945.0,-12245.0,5220.0,30317.0,32796.0,49739.0,75399.0,91240.0,106365.0,114028.0
Tax %,32.0,30.0,141.0,-66.0,41.0,40.0,26.0,27.0,25.0,25.0,26.0,25.0
Net Profit,17832.0,13019.0,-97.0,-3749.0,3351.0,21140.0,23888.0,37183.0,57750.0,69543.0,80523.0,86666.0
EPS in Rs,22.76,15.75,0.3,-5.11,2.58,22.15,25.11,39.64,62.35,75.17,86.91,90.24
Dividend Payout %,15.0,17.0,859.0,0.0,0.0,0.0,16.0,18.0,18.0,18.0,18.0,19.0
