line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,98083.0,101460.0,107391.0,112868.0,117469.0,118242.0,121045.0,124654.0,126840.0,125729.0,128040.0,130386.0,131080.0
Interest,53451.0,58045.0,62955.0,68092.0,70644.0,71701.0,73619.0,77397.0,78227.0,78266.0,78002.0,78783.0,79953.0
Expenses,59965.0,49080.0,59365.0,62635.0,65418.0,53996.0,62709.0,64890.0,74438.0,59496.0,72265.0,76799.0,75050.0
Financing Profit,-15334.0,-5665.0,-14930.0,-17858.0,-18593.0,-7455.0,-15283.0,-17634.0,-25825.0,-12034.0,-22227.0,-25196.0,-23923.0
Financing Margin %,-16.0,-6.0,-14.0,-16.0,-16.0,-6.0,-13.0,-14.0,-20.0,-10.0,-17.0,-19.0,-18.0
Other Income,38769.0,30873.0,36865.0,33103.0,47445.0,33883.0,42758.0,43200.0,52722.0,41263.0,50884.0,55262.0,49999.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,23436.0,25208.0,21936.0,15245.0,28852.0,26428.0,27474.0,25566.0,26897.0,29229.0,28657.0,30067.0,26076.0
Tax %,22.0,26.0,25.0,26.0,25.0,26.0,26.0,25.0,26.0,26.0,25.0,27.0,23.0
Net Profit,18769.0,19094.0,16648.0,11598.0,22203.0,20094.0,20565.0,19484.0,20379.0,22121.0,21861.0,22176.0,20508.0
EPS in Rs,20.27,20.77,18.04,12.4,23.96,21.65,22.17,21.12,21.96,23.76,22.9,23.09,21.28
Gross NPA %,,,2.53,,,,2.13,,,,,,
Net NPA %,,,0.63,,,,0.52,,,,,,
Raw PDF,,,,,,,,,,,,,
