line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,9918.0,11956.0,11956.0,11956.0,12540.0
Reserves,12598.0,11513.0,13648.0,15258.0,18345.0
Deposits,205919.0,224073.0,249338.0,263130.0,293542.0
Borrowing,15383.0,13508.0,20501.0,25331.0,28687.0
Other Liabilities,9428.0,6609.0,5260.0,7873.0,9247.0
Total Liabilities,253246.0,267659.0,300702.0,323548.0,362361.0
Fixed Assets,3151.0,3287.0,3444.0,3717.0,3791.0
CWIP,67.0,48.0,65.0,65.0,61.0
Investments,93693.0,96749.0,95009.0,92761.0,94153.0
Other Assets,156335.0,167575.0,202184.0,227006.0,264357.0
Total Assets,253246.0,267659.0,300702.0,323548.0,362361.0
