line_item,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue,3773.0,3851.0,4185.0,4627.0,4987.0,5224.0,5219.0,5552.0,5860.0,6024.0,6078.0,6220.0,6745.0
Interest,2120.0,2202.0,2415.0,2675.0,3015.0,3215.0,3302.0,3564.0,3672.0,3770.0,3778.0,3842.0,4046.0
Expenses,1757.0,1402.0,1766.0,1754.0,2025.0,2295.0,1924.0,2072.0,2507.0,2227.0,2355.0,2567.0,3055.0
Financing Profit,-105.0,248.0,4.0,198.0,-53.0,-286.0,-7.0,-84.0,-319.0,27.0,-54.0,-190.0,-356.0
Financing Margin %,-3.0,6.0,0.0,4.0,-1.0,-5.0,-0.0,-2.0,-5.0,0.0,-1.0,-3.0,-5.0
Other Income,589.0,-54.0,780.0,823.0,960.0,633.0,647.0,861.0,1125.0,835.0,993.0,1186.0,1392.0
Depreciation,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Profit before tax,484.0,193.0,784.0,1021.0,907.0,347.0,640.0,777.0,806.0,862.0,939.0,996.0,1036.0
Tax %,36.0,36.0,36.0,36.0,36.0,36.0,37.0,35.0,35.0,36.0,36.0,36.0,37.0
Net Profit,315.0,117.0,497.0,654.0,557.0,225.0,404.0,505.0,538.0,555.0,607.0,640.0,666.0
EPS in Rs,0.26,0.1,0.42,0.55,0.47,0.19,0.34,0.42,0.45,0.46,0.51,0.54,0.53
Gross NPA %,7.89,7.42,6.58,5.63,4.78,4.48,4.14,3.85,3.46,3.32,3.18,2.91,2.69
Net NPA %,2.7,2.49,1.99,1.66,1.29,1.18,1.11,0.98,0.89,0.78,0.73,0.63,0.5
Raw PDF,,,,,,,,,,,,,
