line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,636.0,687.0,687.0,1169.0,1763.0,3423.0,6407.0,6835.0,6835.0,7634.0,7634.0,7738.0
Reserves,19263.0,22361.0,23406.0,24083.0,25073.0,30567.0,58331.0,64026.0,71969.0,89964.0,106200.0,125814.0
Deposits,325990.0,344118.0,377195.0,410288.0,417505.0,452436.0,925654.0,1034368.0,1120322.0,1224593.0,1312291.0,1309759.0
Borrowing,26628.0,30637.0,41226.0,45680.0,43276.0,52714.0,51922.0,51245.0,42737.0,26974.0,27490.0,77798.0
Other Liabilities,11048.0,9562.0,13167.0,9900.0,10964.0,16369.0,40063.0,37292.0,46495.0,52831.0,57714.0,66395.0
Total Liabilities,383566.0,407365.0,455681.0,491120.0,498581.0,555509.0,1082377.0,1193766.0,1288357.0,1401996.0,1511329.0,1587503.0
Fixed Assets,2690.0,3939.0,3896.0,3824.0,3743.0,4734.0,7303.0,7171.0,8826.0,9224.0,9765.0,11660.0
CWIP,4.0,13.0,21.0,34.0,44.0,54.0,63.0,37.0,22.0,36.0,59.0,0.0
Investments,85818.0,90573.0,113441.0,125485.0,128391.0,154251.0,339059.0,351839.0,343727.0,343953.0,361903.0,343623.0
Other Assets,295053.0,312840.0,338322.0,361777.0,366402.0,396470.0,735952.0,834718.0,935782.0,1048783.0,1139602.0,1232220.0
Total Assets,383566.0,407365.0,455681.0,491120.0,498581.0,555509.0,1082377.0,1193766.0,1288357.0,1401996.0,1511329.0,1587503.0
