line_item,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,22163.0,23613.0,24732.0,25521.0,26510.0,26527.0,26887.0,26720.0,27869.0,27475.0,26205.0,26819.0,26676.0
Interest,13810.0,14664.0,15498.0,16236.0,16966.0,17004.0,17720.0,17350.0,18245.0,18231.0,17247.0,17370.0,17005.0
Expenses,10041.0,7978.0,7962.0,8012.0,9365.0,9367.0,8686.0,8096.0,9673.0,8844.0,9056.0,7994.0,8744.0
Financing Profit,-1688.0,971.0,1271.0,1273.0,179.0,156.0,480.0,1274.0,-49.0,400.0,-98.0,1455.0,927.0
Financing Margin %,-8.0,4.0,5.0,5.0,1.0,1.0,2.0,5.0,-0.0,1.0,-0.0,5.0,3.0
Other Income,5601.0,4209.0,4221.0,4281.0,5102.0,4799.0,5926.0,4614.0,6223.0,4869.0,5550.0,5183.0,5999.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,3912.0,5180.0,5492.0,5554.0,5281.0,4954.0,6406.0,5889.0,6175.0,5269.0,5453.0,6638.0,6926.0
Tax %,28.0,37.0,35.0,35.0,37.0,27.0,26.0,22.0,19.0,21.0,21.0,24.0,23.0
Net Profit,2812.0,3272.0,3572.0,3625.0,3328.0,3642.0,4751.0,4623.0,5011.0,4428.0,4426.0,5073.0,5504.0
EPS in Rs,4.11,4.79,4.82,4.89,4.36,4.77,6.22,6.06,6.56,5.8,5.8,6.65,7.21
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
